run_id,run_name,lr,batch_size,dropout_prob,weight_decay,optimizer_name,num_hidden_layers,hidden_layer_width,Complexity,Epoch,Generalization Gap,KL Loss on Train Data (kl mean)
ti57uok4,oprmsprop_hw1024_nl3_lr0.0003_bs128_dp0.2_wd1e-05,0.0003,128,0.2,1e-05,rmsprop,3,1024,74.0,423458.0,0.2837499976158142,0.011171219870448112
eek77sby,oprmsprop_hw1024_nl3_lr0.0003_bs128_dp0.2_wd0,0.0003,128,0.2,0.0,rmsprop,3,1024,78.0,423861.0,0.2710000276565552,0.0114687979221344
t311jsa7,opsgd_hw1024_nl3_lr0.0003_bs128_dp0.2_wd0.0001,0.0003,128,0.2,0.0001,sgd,3,1024,86.0,426436.0,0.2919999957084656,0.010111316107213495
oacej8iy,opsgd_hw1024_nl3_lr0.0003_bs128_dp0.2_wd1e-05,0.0003,128,0.2,1e-05,sgd,3,1024,84.0,424526.0,0.2940000295639038,0.01136161107569933
xigjkrsi,opsgd_hw1024_nl3_lr0.0003_bs128_dp0.2_wd0,0.0003,128,0.2,0.0,sgd,3,1024,83.0,327827.0,0.2919999957084656,0.00999976135790348
7qo05duj,opadam_hw1024_nl3_lr0.0003_bs128_dp0.2_wd0.0001,0.0003,128,0.2,0.0001,adam,3,1024,78.0,429504.0,0.26899999380111694,0.011114354245364666
0gutbpm2,opadam_hw1024_nl3_lr0.0003_bs128_dp0.2_wd1e-05,0.0003,128,0.2,1e-05,adam,3,1024,79.0,20145.0,0.2850000262260437,0.00999807845801115
qqdxpfam,opadam_hw1024_nl3_lr0.0003_bs128_dp0.2_wd0,0.0003,128,0.2,0.0,adam,3,1024,79.0,120730.0,0.2839999794960022,0.00999918021261692
z3044yyw,oprmsprop_hw1024_nl2_lr0.0003_bs128_dp0.2_wd0.0001,0.0003,128,0.2,0.0001,rmsprop,2,1024,86.0,422417.0,0.3190000057220459,0.011149104684591292
k97168z1,oprmsprop_hw1024_nl2_lr0.0003_bs128_dp0.2_wd1e-05,0.0003,128,0.2,1e-05,rmsprop,2,1024,83.0,16880.0,0.2940000295639038,0.009997966699302197
gzaze2s6,oprmsprop_hw1024_nl2_lr0.0003_bs128_dp0.2_wd0,0.0003,128,0.2,0.0,rmsprop,2,1024,85.0,14645.0,0.29500001668930054,0.00999944657087326
