run_id,run_name,lr,input_dim,batch_size,output_dim,dropout_prob,weight_decay,optimizer_name,num_hidden_layers,hidden_layer_width,Batch Size,Complexity,Depth,Dist Train (kl mean),Dropout Probability,Epoch,Generalization Gap,KL Loss on Train Data (kl mean),Learning Rate,Optimizer,Weight Decay,Width,_runtime,_step,_timestamp,_wandb
n430uzxj,opadam_hw2048_nl4_lr0.001_bs128_dp0.2_wd1e-05,0.001,40,128,10,0.2,1e-05,adam,4,2048,128.0,72.0,4.0,0.010578085668385029,0.2,424621.0,0.25174999237060547,0.010578085668385029,0.001,adam,1e-05,2048.0,7873.481317996979,1452114.0,1740891363.190095,{'runtime': 7873}
3cjoikk4,opadam_hw2048_nl4_lr0.001_bs128_dp0.2_wd0,0.001,40,128,10,0.2,0.0,adam,4,2048,128.0,73.0,4.0,0.009994941763579844,0.2,23361.0,0.2397499680519104,0.009994941763579844,0.001,adam,0.0,2048.0,1474.80948472023,736300.0,1740884941.8626895,{'runtime': 1470}
ol3813u1,oprmsprop_hw2048_nl3_lr0.001_bs128_dp0.2_wd0.0001,0.001,40,128,10,0.2,0.0001,rmsprop,3,2048,128.0,73.0,3.0,0.009998880326747894,0.2,317453.0,0.2682499885559082,0.009998880326747894,0.001,rmsprop,0.0001,2048.0,24833.508728981014,836702.0,1740908290.128969,{'runtime': 24833}
7omz1w89,oprmsprop_hw2048_nl3_lr0.001_bs128_dp0.2_wd1e-05,0.001,40,128,10,0.2,1e-05,rmsprop,3,2048,128.0,68.0,3.0,0.011788456700742245,0.2,426343.0,0.2470000386238098,0.011788456700742245,0.001,rmsprop,1e-05,2048.0,1776.4451665878296,1005620.0,1740885228.2796483,{'runtime': 1772}
ctp93mfh,oprmsprop_hw2048_nl3_lr0.001_bs128_dp0.2_wd0,0.001,40,128,10,0.2,0.0,rmsprop,3,2048,128.0,74.0,3.0,0.012752651236951351,0.2,428802.0,0.29075002670288086,0.012752651236951351,0.001,rmsprop,0.0,2048.0,2135.4721343517303,1068552.0,1740885585.8173563,{'runtime': 2127}
s1hswfd5,opsgd_hw2048_nl3_lr0.001_bs128_dp0.2_wd0.0001,0.001,40,128,10,0.2,0.0001,sgd,3,2048,128.0,88.0,3.0,0.010612435638904572,0.2,419265.0,0.30699998140335083,0.010612435638904572,0.001,sgd,0.0001,2048.0,38391.54554247856,1465824.0,1740921811.2385714,{'runtime': 38383}
cb8jmj5t,opsgd_hw2048_nl3_lr0.001_bs128_dp0.2_wd1e-05,0.001,40,128,10,0.2,1e-05,sgd,3,2048,128.0,86.0,3.0,0.011233428493142128,0.2,419006.0,0.30800002813339233,0.011233428493142128,0.001,sgd,1e-05,2048.0,2979.8148465156555,1337594.0,1740886384.7652886,{'runtime': 2971}
hvlwroca,opsgd_hw2048_nl3_lr0.001_bs128_dp0.2_wd0,0.001,40,128,10,0.2,0.0,sgd,3,2048,128.0,87.0,3.0,0.00999961979687214,0.2,24069.0,0.30699998140335083,0.00999961979687214,0.001,sgd,0.0,2048.0,2568.96111869812,1101626.0,1740885972.4260657,{'runtime': 2560}
alv20o95,opadam_hw2048_nl3_lr0.001_bs128_dp0.2_wd0.0001,0.001,40,128,10,0.2,0.0001,adam,3,2048,128.0,72.0,3.0,0.01140763983130455,0.2,430144.0,0.2607499957084656,0.01140763983130455,0.001,adam,0.0001,2048.0,6153.447741508484,1292272.0,1740889551.5610576,{'runtime': 6153}
4tyt6nf6,opadam_hw2048_nl3_lr0.001_bs128_dp0.2_wd1e-05,0.001,40,128,10,0.2,1e-05,adam,3,2048,128.0,64.0,3.0,0.01204049214720726,0.2,418162.0,0.2597499489784241,0.01204049214720726,0.001,adam,1e-05,2048.0,24940.81255054474,2118280.0,1740908320.6484916,{'runtime': 24939}
