run_id,run_name,lr,batch_size,dropout_prob,weight_decay,optimizer_name,num_hidden_layers,hidden_layer_width,Base Test Accuracy,Base Train Accuracy,Epochs Taken,Lost Patience,Overall Base Train Loss,Ran out of epochs,Reached Target
85takzri,opadam_hw512_nl4_lr0.0003_bs64_dp0.1_wd0,0.0003,64,0.1,0.0,adam,4,512,0.7300000190734863,0.999750018119812,51,False,0.007365638855844736,False,True
vollzouj,oprmsprop_hw512_nl3_lr0.0003_bs64_dp0.1_wd0.0001,0.0003,64,0.1,0.0001,rmsprop,3,512,0.7080000042915344,1.0,61,False,0.009677724912762642,False,True
0q8e3q1h,oprmsprop_hw512_nl3_lr0.0003_bs64_dp0.1_wd1e-05,0.0003,64,0.1,1e-05,rmsprop,3,512,0.7080000042915344,1.0,62,False,0.008535793982446194,False,True
t8lcfyi8,oprmsprop_hw512_nl3_lr0.0003_bs64_dp0.1_wd0,0.0003,64,0.1,0.0,rmsprop,3,512,0.7269999980926514,1.0,63,False,0.007358020637184381,False,True
oxl78jct,opsgd_hw512_nl3_lr0.0003_bs64_dp0.1_wd0.0001,0.0003,64,0.1,0.0001,sgd,3,512,0.6869999766349792,1.0,16795,False,0.009994937106966972,False,True
5w6n93m5,opsgd_hw512_nl3_lr0.0003_bs64_dp0.1_wd1e-05,0.0003,64,0.1,1e-05,sgd,3,512,0.6890000104904175,1.0,16307,False,0.009996635839343073,False,True
et0xscdc,opsgd_hw512_nl3_lr0.0003_bs64_dp0.1_wd0,0.0003,64,0.1,0.0,sgd,3,512,0.6890000104904175,1.0,16261,False,0.009995491243898869,False,True
on3myh04,opadam_hw512_nl3_lr0.0003_bs64_dp0.1_wd1e-05,0.0003,64,0.1,1e-05,adam,3,512,0.7129999995231628,1.0,65,False,0.009307934902608396,False,True
ruf9xf2o,opadam_hw512_nl3_lr0.0003_bs64_dp0.1_wd0.0001,0.0003,64,0.1,0.0001,adam,3,512,0.7269999980926514,0.999750018119812,68,False,0.009625324979424477,False,True
cd0qr97s,opadam_hw512_nl3_lr0.0003_bs64_dp0.1_wd0,0.0003,64,0.1,0.0,adam,3,512,0.699999988079071,1.0,65,False,0.009594585746526718,False,True
xu3a6976,oprmsprop_hw512_nl2_lr0.0003_bs64_dp0.1_wd0.0001,0.0003,64,0.1,0.0001,rmsprop,2,512,0.703000009059906,1.0,137,False,0.009742718189954758,False,True
zw2x7ihe,oprmsprop_hw512_nl2_lr0.0003_bs64_dp0.1_wd1e-05,0.0003,64,0.1,1e-05,rmsprop,2,512,0.6930000185966492,1.0,124,False,0.008811434730887413,False,True
6iia3q82,oprmsprop_hw512_nl2_lr0.0003_bs64_dp0.1_wd0,0.0003,64,0.1,0.0,rmsprop,2,512,0.6930000185966492,1.0,124,False,0.009339186362922192,False,True
ir92j446,opsgd_hw512_nl2_lr0.0003_bs64_dp0.1_wd0.0001,0.0003,64,0.1,0.0001,sgd,2,512,0.6909999847412109,1.0,32927,False,0.009998006746172903,False,True
g9qum2ya,opsgd_hw512_nl2_lr0.0003_bs64_dp0.1_wd1e-05,0.0003,64,0.1,1e-05,sgd,2,512,0.6890000104904175,1.0,30544,False,0.009996465407311916,False,True
zbzdiiyo,opsgd_hw512_nl2_lr0.0003_bs64_dp0.1_wd0,0.0003,64,0.1,0.0,sgd,2,512,0.6899999976158142,1.0,30294,False,0.00999978557229042,False,True
